record_id,municipality,category,name,address,lat,lng,coordinateSource,toiletLocation,floor,insideOutside,gateStatus,openingHours,wheelchair,ostomate,babyChangingTable,babyChair,largeBed,handrail,emergencyButton,powderRoom,freeUse,generalPublicUse,imageUrl,imageSourceUrl,imageType,imageLicense,sourceUrl,sourceType,verificationStatus,researchNote
GS-TK-002525,葛飾区,PUBLIC,堀切二丁目公園,東京都葛飾区堀切2-44-10堀切二丁目公園 堀切二丁目公園,35.743233,139.829287,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002527,葛飾区,PUBLIC,本田公園,東京都葛飾区立石3-4-13本田公園 本田公園,35.738944,139.842772,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002528,葛飾区,PUBLIC,本田第二公園,東京都葛飾区立石2-23-14本田第二公園 本田第二公園,35.738058,139.841873,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002529,葛飾区,PUBLIC,まんだら公園,東京都葛飾区鎌倉1-30-11まんだら公園 まんだら公園,35.744665,139.879374,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002530,葛飾区,PUBLIC,前津公園,東京都葛飾区亀有2-51-8前津公園 前津公園,35.762061,139.850392,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002531,葛飾区,PUBLIC,間栗公園,東京都葛飾区西新小岩2-1-4間栗公園 間栗公園,35.717855,139.85072,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002532,葛飾区,PUBLIC,みよし公園,東京都葛飾区南水元1-17-23みよし公園 みよし公園,35.774329,139.859267,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002533,葛飾区,PUBLIC,水元スポーツセンター公園C　東側,東京都葛飾区水元1-23-1水元スポーツセンター公園C　東側 水元スポ-ツセンタ-公園C　東側,35.781794,139.858666,official,,,,,,あり,あり,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002534,葛飾区,PUBLIC,水元スポーツセンター公園D　ポニー側,東京都葛飾区水元1-19-1水元スポーツセンター公園D　ポニー側 水元スポ-ツセンタ-公園D　ポニ-側,35.781985,139.856478,official,,,,,,あり,あり,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002535,葛飾区,PUBLIC,水元スポーツセンター公園F　社教館裏側,東京都葛飾区南水元2-13-1水元スポーツセンター公園F　社教館裏側 水元スポ-ツセンタ-公園F　社教館裏側,35.779591,139.855678,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002536,葛飾区,PUBLIC,水元飯塚公園,東京都葛飾区西水元1-12-3水元飯塚公園 水元飯塚公園,35.781543,139.850964,official,,,,,,なし,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002537,葛飾区,PUBLIC,南綾瀬中央公園,東京都葛飾区堀切7-8-7南綾瀬中央公園 南綾瀬中央公園,35.753983,139.830398,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002538,葛飾区,PUBLIC,南奥戸公園,東京都葛飾区奥戸5-14-1南奥戸公園 南奥戸公園,35.73226,139.866,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
GS-TK-002539,葛飾区,PUBLIC,南奥戸第二公園,東京都葛飾区奥戸5-15-3南奥戸第二公園 南奥戸第二公園,35.731501,139.865424,official,,,,,,あり,なし,なし,,,,,,,はい,,,,,https://www.opendata.metro.tokyo.lg.jp/katsushika/131229_public_toilet.csv,official_opendata,VERIFIED,自治体標準オープンデータセット（葛飾区公表）
